City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Souillac,MU,-20.5167,57.5167,82.78,57,40,13.8,scattered clouds
1,Cidreira,BR,-30.1811,-50.2056,71.51,95,100,17.76,light rain
2,Hobart,AU,-42.8794,147.3294,56.05,69,20,16.11,few clouds
3,Kodiak,US,57.79,-152.4072,42.31,61,0,21.85,clear sky
4,Avarua,CK,-21.2078,-159.775,78.85,83,75,11.5,broken clouds
5,Ostrovnoy,RU,68.0531,39.5131,27.77,94,100,7.92,overcast clouds
6,Ilulissat,GL,69.2167,-51.1,21.22,73,100,26.46,overcast clouds
7,Necochea,AR,-38.5473,-58.7368,57.96,92,100,15.59,light rain
8,Sikonge,TZ,-5.6333,32.7667,79.16,53,100,3.6,overcast clouds
9,Chimbote,PE,-9.0853,-78.5783,65.08,86,98,6.78,overcast clouds
10,Kruisfontein,ZA,-34.0033,24.7314,74.88,49,57,8.46,broken clouds
11,Ushuaia,AR,-54.8,-68.3,47.86,61,40,5.75,scattered clouds
12,Busselton,AU,-33.65,115.3333,73.63,50,0,17.11,clear sky
13,Laguna,US,38.421,-121.4238,51.78,75,0,6.91,clear sky
14,Yellowknife,CA,62.456,-114.3525,-10.52,99,100,4.36,overcast clouds
15,Barrow,US,71.2906,-156.7887,23.02,86,100,10.36,overcast clouds
16,Esperance,AU,-33.8667,121.9,83.48,42,0,10.25,clear sky
17,Lebu,CL,-37.6167,-73.65,49.35,83,0,14.03,clear sky
18,Fez,MA,34.0372,-4.9998,41.25,75,0,4.61,clear sky
19,Leningradskiy,RU,69.3833,178.4167,20.8,86,100,10.56,light snow
20,Thompson,CA,55.7435,-97.8558,-17.88,95,100,2.82,overcast clouds
21,Saint George,US,37.1041,-113.5841,37.99,48,0,4.61,clear sky
22,San Jose,US,37.3394,-121.895,50.56,79,20,11.5,few clouds
23,Vila Velha,BR,-20.3297,-40.2925,75.15,97,75,9.22,thunderstorm with light rain
24,Port Alfred,ZA,-33.5906,26.891,74.17,76,48,1.99,scattered clouds
25,Tuatapere,NZ,-46.1333,167.6833,50.77,63,32,12.53,scattered clouds
26,Rikitea,PF,-23.1203,-134.9692,73.13,75,48,12.44,scattered clouds
27,Mataura,NZ,-46.1927,168.8643,50.49,60,100,9.13,overcast clouds
28,Guymon,US,36.6828,-101.4816,30.2,59,0,20.71,clear sky
29,Roma,US,43.2128,-75.4557,32.95,66,75,14.97,broken clouds
30,Iskateley,RU,67.6803,53.1512,6.46,95,79,11.07,broken clouds
31,Amuntai,ID,-2.4177,115.2494,80.82,90,100,3.04,overcast clouds
32,Nabire,ID,-3.3667,135.4833,80.31,86,84,1.23,broken clouds
33,Bredasdorp,ZA,-34.5322,20.0403,78.71,41,47,8.48,scattered clouds
34,Termoli,IT,41.9888,14.9895,49.78,72,100,17.0,overcast clouds
35,Grand Gaube,MU,-20.0064,57.6608,82.8,71,1,12.97,clear sky
36,Georgetown,MY,5.4112,100.3354,87.73,76,20,9.22,few clouds
37,Pangnirtung,CA,66.1451,-65.7125,-16.15,70,1,4.97,clear sky
38,Ponta Do Sol,PT,32.6667,-17.1,66.7,72,39,6.06,scattered clouds
39,Vaini,TO,-21.2,-175.2,77.16,94,100,2.3,overcast clouds
40,Dikson,RU,73.5069,80.5464,20.03,94,100,16.53,overcast clouds
41,Fukue,JP,32.6881,128.8419,48.61,62,99,21.68,overcast clouds
42,Carnarvon,AU,-24.8667,113.6333,74.41,65,1,17.67,clear sky
43,Atuona,PF,-9.8,-139.0333,77.65,79,29,13.71,scattered clouds
44,Margate,GB,51.3813,1.3862,47.7,87,83,9.46,light rain
45,New Norfolk,AU,-42.7826,147.0587,55.71,56,32,1.99,scattered clouds
46,Vanimo,PG,-2.6741,141.3028,78.48,86,100,7.56,overcast clouds
47,Kapaa,US,22.0752,-159.319,75.52,90,75,10.36,broken clouds
48,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.59,91,100,17.6,overcast clouds
49,Rohnert Park,US,38.3396,-122.7011,53.17,80,100,7.0,overcast clouds
50,Punta Arenas,CL,-53.15,-70.9167,50.11,57,100,28.99,overcast clouds
51,Bluff,NZ,-46.6,168.3333,50.81,65,64,23.04,broken clouds
52,Rabat,MA,33.9911,-6.8401,57.15,94,75,6.91,light rain
53,North Platte,US,41.1239,-100.7654,26.49,70,0,14.0,clear sky
54,Macapa,BR,0.0389,-51.0664,75.18,100,0,1.14,clear sky
55,Hamilton,US,39.1834,-84.5333,28.24,67,0,10.36,clear sky
56,Hilo,US,19.7297,-155.09,78.28,94,100,5.01,overcast clouds
57,Arraial Do Cabo,BR,-22.9661,-42.0278,74.21,92,88,25.48,light rain
58,Port Elizabeth,ZA,-33.918,25.5701,77.09,72,22,8.99,few clouds
59,Nikolskoye,RU,59.7035,30.7861,22.91,83,100,3.56,overcast clouds
60,Jinchang,CN,38.4953,102.1739,25.93,38,94,4.25,overcast clouds
61,Albany,US,42.6001,-73.9662,34.57,54,6,5.01,clear sky
62,Jamestown,US,42.097,-79.2353,31.59,95,100,15.01,light snow
63,Avera,US,33.194,-82.5271,40.51,56,0,7.4,clear sky
64,Mar Del Plata,AR,-38.0023,-57.5575,64.09,98,100,18.41,light rain
65,Meulaboh,ID,4.1363,96.1285,81.25,77,100,4.79,overcast clouds
66,Hasaki,JP,35.7333,140.8333,46.8,80,100,19.89,overcast clouds
67,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,3.44,broken clouds
68,Vila,PT,42.0304,-8.1588,38.28,95,2,3.85,clear sky
69,Bethel,US,41.3712,-73.414,38.48,57,20,11.99,few clouds
70,Sukhobezvodnoye,RU,57.0491,44.8891,15.48,89,36,2.17,scattered clouds
71,Prince Rupert,CA,54.3161,-130.3201,16.75,47,0,7.11,clear sky
72,Bage,BR,-31.3314,-54.1069,67.78,94,75,2.3,broken clouds
73,Paray-Le-Monial,FR,46.4546,4.1158,42.75,92,100,6.91,overcast clouds
74,Lerwick,GB,60.1545,-1.1494,48.2,87,100,24.74,light rain
75,Ilhabela,BR,-23.7781,-45.3581,72.32,93,83,5.44,broken clouds
76,Butaritari,KI,3.0707,172.7902,81.07,79,52,12.33,light rain
77,Breves,BR,-1.6822,-50.4803,72.73,97,77,3.44,broken clouds
78,Cape Town,ZA,-33.9258,18.4232,77.38,64,100,4.0,overcast clouds
79,Mehamn,NO,71.0357,27.8492,30.15,86,0,11.5,clear sky
80,Ballina,AU,-28.8667,153.5667,61.02,99,100,19.37,light rain
81,Nicoya,CR,10.1483,-85.452,70.21,83,97,7.67,overcast clouds
82,Provideniya,RU,64.3833,-173.3,24.03,82,94,3.4,overcast clouds
83,Poum,NC,-20.2333,164.0167,82.06,82,97,8.77,overcast clouds
84,Naze,JP,28.3667,129.4833,59.16,74,99,20.71,overcast clouds
85,Qaqortoq,GL,60.7167,-46.0333,17.69,84,81,6.26,broken clouds
86,Port Dover,CA,42.7834,-80.1997,29.59,74,52,25.41,broken clouds
87,Aktau,KZ,43.65,51.2,32.58,23,3,10.51,clear sky
88,Tombouctou,ML,20.0,-3.0,67.87,19,93,8.28,overcast clouds
